Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,final 3rd,PPA,CrsPA,Prog,Matches
83,Josephine Green,wal WAL,MF,Tottenham,26,1993,12.4,24,32.6,73.5,408.4,104.5,0.89,1.94,45.8,19.2,23.4,82.1,48,90,53.3,0,0.02,-0.02,0.89,1.53,0.24,0,2.18,Matches
84,Kayleigh Green,wal WAL,"FW,MF",Brighton,31,1988,14,19.9,32.6,61,327.1,103.6,0.36,3,11.9,16.3,23.6,68.9,45,83,54.2,0.14,0.13,0.01,1.64,1.64,0.71,0.14,3.43,Matches
85,Freya Gregory,,FW,Birmingham City,,,0.9,7.78,11.1,70,90,28.9,0,0,,7.78,10,77.8,0,1,0,0,0,0,0,0,0,0,1.11,Matches
86,Jackie Groenen,nl NED,MF,Manchester Utd,24,1994,11.4,23.9,34.3,69.6,412.8,126.2,1.23,3.25,37.8,18.4,23.1,79.8,48,91,52.7,0.09,0.2,-0.11,2.11,2.98,1.14,0,3.77,Matches
87,Coral-Jade Haines,eng ENG,MF,Tottenham,23,1996,1.2,21.7,30,72.2,449.2,96.7,1.67,3.33,50,13.3,15.8,84.2,8,13,61.5,0,0,0,0.83,0.83,0,0,2.5,Matches
88,Hannah Hampton,eng ENG,GK,Birmingham City,18,2000,13,33.9,46.8,72.5,905.6,462.5,0.08,0.23,33.3,21.2,21.4,98.9,165,327,50.5,0,0,0,0,0.31,0,0,0.08,Matches
89,Kirsty Hanson,sco SCO,FW,Manchester Utd,21,1998,5.5,13.6,24,56.8,208.4,75.1,0.91,2.18,41.7,10.9,16.2,67.4,10,31,32.3,0.18,0.22,-0.04,1.27,0.73,1.09,0.91,3.09,Matches
90,Natasha Harding,wal WAL,"DF,FW",Reading,30,1989,6.3,26.2,40.5,64.7,499,246.5,0.32,1.59,20,19.8,28.4,69.8,38,66,57.6,0,0.08,-0.08,0.79,1.43,0.79,0.32,7.78,Matches
91,Martha Harris,eng ENG,DF,Manchester Utd,24,1994,9.3,36,50.8,71,609.5,281,0.22,1.18,18.2,31,40.1,77.2,45,88,51.1,0,0.02,-0.02,0.32,2.26,0.32,0.22,9.03,Matches
92,Sophie Harris,eng ENG,GK,Brighton,24,1994,1,30,38,78.9,806,335,0,1,0,16,16,100,14,21,66.7,0,0,0,0,0,0,0,0,Matches
93,Abigail Harrison,sco SCO,FW,Bristol City,21,1997,4,13.3,16.8,79.1,223,27.8,0,0.5,0,10.5,12.3,85.7,11,16,68.8,0,0.07,-0.07,1,0.5,0.75,0.25,1.25,Matches
94,Kerys Harrop,eng ENG,DF,Birmingham City,28,1990,6.2,51.5,60,85.8,1208.1,393.9,0.32,0.81,40,31.5,32.9,95.6,122,163,74.8,0,0,0,0.16,4.35,0,0,4.35,Matches
95,Lauren Hemp,eng ENG,"MF,FW",Manchester City,18,2000,12.6,23.1,32.6,70.8,388.3,88.8,0.4,2.06,19.2,19.4,23.7,81.6,42,86,48.8,0.4,0.19,0.21,1.59,1.19,1.35,0.4,2.86,Matches
96,Brooke Hendrix,us USA,DF,West Ham,26,1993,4.5,18,26.2,68.6,341.3,118.9,0.44,1.11,40,13.6,17.3,78.2,18,35,51.4,0,0.02,-0.02,0.22,0.22,0,0,2,Matches
97,Taylor Hinds,eng ENG,DF,Everton,19,1999,2.4,40,50.8,78.7,630.8,324.6,0.42,2.08,20,35,40.8,85.7,11,19,57.9,0,0,0,0.42,2.08,0.42,0,5.42,Matches
98,Ashley Hodson,eng ENG,FW,Liverpool,24,1995,2.7,12.2,18.9,64.7,177,61.5,0.74,1.48,50,9.63,14.8,65,5,7,71.4,0,0.11,-0.11,1.11,1.11,0.37,0,2.59,Matches
99,Rebecca Holloway,nir NIR,DF,Birmingham City,23,1995,10.8,39,47.6,81.9,843.4,271.1,0.19,1.11,16.7,27.7,30.6,90.3,120,171,70.2,0,0.01,-0.01,0.28,2.31,0,0,2.04,Matches
100,Rakel Hönnudóttir,is ISL,FW,Reading,30,1988,0.5,32,44,72.7,472,130,0,0,,30,40,75,1,2,50,0,0,0,2,4,0,0,6,Matches
101,Steph Houghton,eng ENG,DF,Manchester City,31,1988,16,60.8,72.9,83.3,1513.2,630.9,0.13,0.56,22.2,35.4,39,90.9,403,534,75.5,0.06,0.06,0,0.31,5.63,0.19,0.06,6.31,Matches
102,Sophie Howard,sco SCO,DF,Reading,25,1993,10.1,32.8,43.7,75.1,722.5,263.1,0.3,0.89,33.3,21.7,26,83.3,109,169,64.5,0,0,0,0.1,1.68,0.3,0,2.97,Matches
103,Elise Hughes,wal WAL,"MF,FW",Bristol City,18,2001,1.8,10,22.8,43.9,136.7,25,1.11,2.22,50,7.78,18.3,42.4,2,4,50,0,0,0,0.56,0.56,0,0,0.56,Matches
104,Elise Hughes,wal WAL,FW,Everton,18,2001,1.1,10,18.2,55,180,70,0,3.64,0,8.18,11.8,69.2,2,3,66.7,0,0.09,-0.09,2.73,0.91,0.91,0,1.82,Matches
105,Carla Humphrey,eng ENG,"MF,DF",Bristol City,22,1996,7.7,17.9,27,66.3,365.6,98.7,0.52,2.47,21.1,12.5,15.6,80,38,69,55.1,0.26,0.1,0.16,0.91,1.04,0.52,0.26,2.73,Matches
106,Sophie Ingle,wal WAL,MF,Chelsea,27,1991,14.1,39,49.4,79,759,204.3,0.57,1.28,44.4,29.2,35,83.4,130,184,70.7,0,0.05,-0.05,0.71,4.89,1.13,0.14,4.75,Matches
107,Angharad James,wal WAL,"MF,DF",Reading,25,1994,12.6,26.7,38.3,69.8,470,199.4,0.95,2.7,35.3,20.9,26.7,78.3,62,113,54.9,0.08,0.07,0.01,0.87,3.02,1.19,0,6.11,Matches
108,Lauren James,eng ENG,FW,Manchester Utd,17,2001,8.9,13.9,20.1,69.3,236.5,55.2,0.67,1.35,50,10.7,15.1,70.9,23,33,69.7,0,0.08,-0.08,1.01,1.12,0.56,0,2.47,Matches
109,Rebecca Jane,eng ENG,DF,Liverpool,27,1992,14,41,56.1,73,650,360,0.79,1.93,40.7,35.2,42.5,82.9,70,164,42.7,0,0.03,-0.03,0.57,3,0.07,0,8.14,Matches
110,Adrienne Jordan,us USA,DF,Birmingham City,25,1994,13,36.5,48.3,75.5,609.7,272.2,0.23,1.31,17.6,31.4,38.9,80.6,63,105,60,0,0.02,-0.02,0.62,1.77,0.23,0.08,5.54,Matches
111,Inessa Kaagman,nl NED,"FW,MF",Everton,23,1996,11,20.9,32.5,64.4,351.3,128.1,0.45,1.45,31.3,17.3,22.4,77.2,35,95,36.8,0.27,0.07,0.2,1.36,1.09,0.55,0,3.18,Matches
112,Lisa-Marie Karlseng Utland,no NOR,"FW,MF",Reading,26,1992,3.9,14.9,24.4,61.1,207.4,51.3,0.51,3.08,16.7,12.8,17.7,72.5,6,14,42.9,0,0.05,-0.05,0.77,0.77,0.77,0,1.79,Matches
113,Chloe Kelly,eng ENG,FW,Everton,21,1998,11.8,14,25.3,55.2,244,98.6,0.76,2.2,34.6,10.9,15,72.9,27,96,28.1,0.08,0.14,-0.05,1.53,1.53,0.68,0.34,3.64,Matches
114,Danique Kerkdijk,nl NED,DF,Brighton,23,1996,13,24.6,32.9,74.8,573.2,254,0.38,0.85,45.5,15,17.2,87.1,120,193,62.2,0.08,0.01,0.07,0.15,1.31,0,0,2.23,Matches
115,Sam Kerr,au AUS,"FW,MF",Chelsea,25,1993,3.3,13,20.6,63.2,198.5,58.8,0.3,1.82,16.7,11.8,16.1,73.6,3,9,33.3,0.3,0.36,-0.06,1.52,1.21,1.21,0.3,3.03,Matches
116,Leanne Kiernan,ie IRL,"FW,MF",West Ham,20,1999,5.8,13.6,17.2,79,207.2,44.3,0.34,0.52,66.7,11.7,14.3,81.9,9,14,64.3,0,0,0,0,1.38,0.17,0,1.21,Matches
117,Fran Kirby,eng ENG,"MF,FW",Chelsea,26,1993,2.2,24.5,34.5,71.1,378.2,106.8,0,0.45,0,20.9,30,69.7,8,9,88.9,1.36,0.32,1.05,2.27,1.36,1.36,0.45,3.64,Matches
118,Wiktoria Kiszkis,pl POL,FW,West Ham,16,2003,0,2,2,100,31,0,1,1,100,0,0,,1,1,100,0,0,0,0,0,0,0,0,Matches
119,Frances Kitching,eng ENG,GK,Liverpool,21,1998,4,15.5,30.3,51.2,538,371.3,0,0.25,0,6.25,6.25,100,37,95,38.9,0,0.05,-0.05,0.25,0.25,0,0,0,Matches
