Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
60,Gemma Evans,wal WAL,DF,Bristol City,22,1996,11.2,0,0,0,0.27,0.09,0,33.3,0.02,0.01,0,0,0.01,0.01,0.03,-0.01,-0.01,Matches
61,Lisa Evans,sco SCO,"DF,FW",Arsenal,27,1992,14.1,0.14,0,0,0.85,0.28,0,33.3,0.06,0.02,0.17,0.5,0.13,0.13,0.16,0.01,0.01,Matches
62,Niamh Fahey,ie IRL,DF,Liverpool,31,1987,12.7,0,0,0,0.47,0.08,0,16.7,0.04,0.01,0,0,0.05,0.05,0.1,-0.05,-0.05,Matches
63,Millie Farrow,eng ENG,FW,Reading,23,1996,3,0,0,0,1.67,0.67,0,40,0.56,0.22,0,0,0.23,0.23,0.15,-0.23,-0.23,Matches
64,Matilde Fidalgo,pt POR,DF,Manchester City,25,1994,0.7,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
65,Anna Filbey,wal WAL,DF,Tottenham,19,1999,12.8,0,0,0,0.08,0,0,0,0.01,0,0,,0,0,0.01,0,0,Matches
66,Melisa Filis,eng ENG,FW,Arsenal,17,2002,0,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
67,Megan Finnigan,eng ENG,DF,Everton,21,1998,10,0,0,0,0.5,0.2,0,40,0.05,0.02,0,0,0.04,0.04,0.07,-0.04,-0.04,Matches
68,Grace Fisk,eng ENG,DF,West Ham,21,1998,4.7,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
69,Gilly Flaherty,eng ENG,DF,West Ham,27,1991,14,0,0,0,0.36,0.07,0,20,0.03,0.01,0,0,0.01,0.01,0.05,-0.01,-0.01,Matches
70,Rachel Furness,nir NIR,MF,Liverpool,31,1988,4,1,0,0,2.75,1.25,0.25,45.5,0.69,0.31,0.36,0.8,0.38,0.38,0.13,0.63,0.63,Matches
71,Rachel Furness,nir NIR,"MF,FW",Tottenham,31,1988,9,0.11,0.11,0.22,2.33,0.89,0.11,38.1,0.26,0.1,0,0,0.26,0.08,0.04,-0.14,-0.08,Matches
72,Jeon Ga-eul,kr KOR,"MF,FW",Bristol City,30,1988,1.3,0,0,0,0,0,0,,0,0,,,0,0,,0,0,Matches
